manquent;manquaient;manquèrent;manquassent;manqueraient
marchent;marchaient;marchèrent;marchassent;marcheraient
marient;mariaient;marièrent;mariassent;marieraient
mènent;menaient;menèrent;menassent;mèneraient
mentent;mentaient;mentèrent;mentissent;mentiraient
mettent;mettaient;mirent;missent;mettraient
montent;montaient;montèrent;montassent;monteraient
montrent;montraient;montrèrent;montrassent;montreraient
meurent;mouraient;mourèrent;mourussent;mourraient
naissent;naissaient;naquèrent;naquissent;naîtraient
narrent;narraient;narrèrent;narrassent;narreraient
nasalisent;nasalisaient;nasalisèrent;nasalisassent;nasaliseraient
nationalisent;nationalisaient;nationalisèrent;nationalisassent;nationaliseraient
naturalisent;naturalisaient;naturalisèrent;naturalisassent;naturaliseraient
naufragent;naufrageaient;naufragèrent;naufrageassent;naufrageraient
naviguent;naviguaient;naviguèrent;naviguassent;navigueraient
nécessitent;nécessitaient;nécessitèrent;nécessitassent;nécessiteraient
nécrosent;nécrosaient;nécrosèrent;nécrosassent;nécroseraient
négligent;négligeaient;négligèrent;négligeassent;négligeraient
nervent;nervaient;nervèrent;nervassent;nerveraient
nettoient;nettoyaient;nettoyèrent;nettoient;nettoyassent
neutralisent;neutralisaient;neutralisèrent;neutralisassent;neutraliseraient
nient;niaient;nièrent;niassent;nieraient
noircissent;noircissaient;noircirent;noircissent;noirciraient
nombrent;nombraient;nombrèrent;nombrassent;nombreraient
nomment;nommaient;nommèrent;nommassent;nommeraient
nordissent;nordissaient;nordirent;nordiraient;normalisent
notent;notaient;notèrent;notassent;noteraient
notifient;notifiaient;notifièrent;notifiassent;notifieraient
nourrissent;nourrissaient;nourrirent;nourriraient
nuancent;nuançaient;nuancèrent;nuançassent;nuanceraient
obligent;obligeaient;obligèrent;obligeassent;obligeraient
occupent;occupaient;occupèrent;occupassent;occuperaient
offrent;offraient;offrèrent;offrissent;offriraient
osent;osaient;osèrent;osassent;oseraient
oublient;oubliaient;oublièrent;oubliassent;oublieraient
ouvrent;ouvraient;ouvrèrent;ouvrassent;ouvreraient
paraissent;paraissaient;parèrent;parussent;paraîtraient
parlent;parlaient;parlèrent;parlassent;parleraient
partent;partaient;partèrent;partissent;partiraient
passent;passaient;passèrent;passassent;passeraient
payent;paient;payaient;payèrent;payassent;payeraient;paieraient;
pensent;pensaient;pensèrent;pensassent;penseraient
perdent;perdaient;perdèrent;perdissent;perdraient
permettent;permettaient;permèrent;permissent;permettraient
plaisent;plaisaient;plurent;plussent;plairaient
pleurent;pleuraient;pleurèrent;pleurassent;pleureraient
portent;portaient;portèrent;portassent;porteraient
posent;posaient;posèrent;posassent;poseraient
poussent;poussaient;poussèrent;poussassent;pousseraient
peuvent;pouvaient;purent;puissent;pussent;pourraient
préfèrent;préféraient;préférèrent;préférassent;préféreraient
prennent;prenaient;prirent;prissent;prendraient
préparent;préparaient;préparèrent;préparassent;prépareraient
présentent;présentaient;présentèrent;présentassent;présenteraient
préviennent;prévenaient;prévièrent;prévinssent;préviendraient
prient;priaient;prièrent;priassent;prieraient
promettent;promettaient;promèrent;promissent;promettraient
proposent;proposaient;proposèrent;proposassent;proposeraient
protègent;protégeaient;protégèrent;protégeassent;protégeraient
quittent;quittaient;quittèrent;quittassent;quitteraient
racontent;racontaient;racontèrent;racontassent;raconteraient
ramènent;ramenaient;ramenèrent;ramenassent;ramèneraient
rappellent;rappelaient;rappelèrent;rappelassent;rappelleraient
reçoivent;recevaient;reçèrent;reçussent;recevraient
reconnaissent;reconnaissaient;reconnèrent;reconnussent;reconnaîtraient
réfléchissent;réfléchissaient;réfléchèrent;réfléchissent;réfléchiraient
refusent;refusaient;refusèrent;refusassent;refuseraient
regardent;regardaient;regardèrent;regardassent;regarderaient
rejoignent;rejoignaient;rejoignèrent;rejoignissent;rejoindraient
remarquent;remarquaient;remarquèrent;remarquassent;remarqueraient
remettent;remettaient;remirent;remissent;remettraient
remontent;remontaient;remontèrent;remontassent;remonteraient
rencontrent;rencontraient;rencontrèrent;rencontrassent;rencontreraient
rendent;rendaient;rendirent;rendissent;rendraient
rentrent;rentraient;rentrèrent;rentrassent;rentreraient
répètent;répétaient;répétèrent;répétassent;répéteraient
répondent;répondaient;répondèrent;répondissent;répondraient
reposent;reposaient;reposèrent;reposassent;reposeraient
reprennent;reprenaient;reprèrent;reprissent;reprendraient
ressemblent;ressemblaient;ressemblèrent;ressemblassent;ressembleraient
restent;restaient;restèrent;restassent;resteraient
retiennent;retenaient;retièrent;retinssent;retiendraient
retirent;retiraient;retirèrent;retirassent;retireraient
retournent;retournaient;retournèrent;retournassent;retourneraient
retrouvent;retrouvaient;retrouvèrent;retrouvassent;retrouveraient
réussissent;réussissaient;réussèrent;réussissent;réussiraient
réveillent;réveillaient;réveillèrent;réveillassent;réveilleraient
reviennent;revenaient;revièrent;revinssent;reviendraient
rêvent;rêvaient;rêvèrent;rêvassent;rêveraient
revoient;revoyaient;revèrent;revissent;reverraient
rient;riaient;rirent;rissent;riraient
risquent;risquaient;risquèrent;risquassent;risqueraient
roulent;roulaient;roulèrent;roulassent;rouleraient
sautent;sautaient;sautèrent;sautassent;sauteraient
sauvent;sauvaient;sauvèrent;sauvassent;sauveraient
savent;savaient;surent;sachent;sussent;sauraient
semblent;semblaient;semblèrent;semblassent;sembleraient
sentent;sentaient;sentèrent;sentissent;sentiraient
séparent;séparaient;séparèrent;séparassent;sépareraient
serrent;serraient;serrèrent;serrassent;serreraient
servent;servaient;servèrent;servissent;serviraient
sortent;sortaient;sortèrent;sortassent;sortiraient
souffrent;souffraient;souffrèrent;souffrissent;souffriraient
sourient;souriaient;sourèrent;sourissent;souriraient
souviennent;souvenaient;souvièrent;souvinssent;souviendraient
suffisent;suffisaient;suffèrent;suffissent;suffiraient
suivent;suivaient;suivèrent;suivissent;suivraient
taisent;taisaient;turent;tussent;tairaient
tendent;tendaient;tendèrent;tendissent;tendraient
